NS_code,Nation_State,TARG_HPI_trend_coeff,TARG_HPI_mean,CWGI_Gov_Effect_trend_coeff,CWGI_Gov_Effect_mean,CWGI_Poli_Stable_trend_coeff,CWGI_Poli_Stabl_mean,CWGI_Reg_Quality_trend_coeff,CWGI_Reg_Quality_mean,CWGI_Rule_of_Law_trend_coeff,CWGI_Rule_of_Law_mean,EW_Banks_per_cap_trend_coeff,EW_Banks_per_cap_mean,EW_Firms_Fem_trend_coeff,EW_Firms_Fem_mean,EW_GINI_trend_coeff,EW_GINI_mean,EW_Startup_Time_trend_coeff,EW_Startup_Time_mean,PTI_CPI_trend_coeff,PTI_CPI_mean,PW_Women_Legis_coeff,PW_Women_Legis_mean,PWGI_Corruption_Ctrl_coeff,PWGI_Corruption_Ctrl_mean,PWGI_Voice_Acct_coeff,PWGI_Voice_Acct_mean
ALB,Albania,0.15262137,0.772788976,0.016970737,-0.602911159,0.015448842,-0.291350441,0.016615962,-0.215884493,0.01198151,-0.820834354,0.307186704,13.15165983,0,11.7,0.077960627,28.28025252,-0.843302215,32,0.022810835,0.671105512,-0.349757651,20.34395833,0.014448028,-0.903247959,0.026196794,-0.399323961
DZA,Algeria,0.06568529,0.751173954,0.012334356,-0.78741743,0.019112294,-1.618479756,-0.008023371,-0.834294682,0.01425637,-0.998865895,0.011778608,4.853497916,,,-0.356212565,34.69465692,-0.132218845,23.58333333,-0.006889479,1.105198871,0.5228681,7.999153631,-0.003515082,-0.560837774,0.009438264,-1.150740104
AGO,Angola,0.03094912,-1.138537954,-0.010313667,-1.010309271,0.049289105,-1.518250332,0.011755067,-1.341363329,0.011910043,-1.502658933,0.174226942,3.640016573,0,13.5,-0.25163949,48.99667608,-0.74305254,75.70833333,0.01606518,-0.813398155,0.498468751,19.58341481,-0.006807815,-1.251399408,0.014812875,-1.442008678
ARG,Argentina,0.029558209,1.154673627,-0.013239572,0.098574416,-0.00139628,-0.030462077,-0.046138215,0.029028876,-0.024711912,-0.285625539,-0.002405994,13.3186828,-0.016150959,9.050019554,0.066930947,44.60419637,-1.17561333,51.82291667,0.037286123,1.020862027,0.938850544,21.23220136,-0.008956352,-0.326385432,-0.000105035,0.288309963
ARM,Armenia,0.031055595,0.049489727,0.007575763,-0.321756396,0.012169632,-0.3744763,0.01737251,-0.112342811,0.003890377,-0.439673601,0.265396697,13.64479424,0.10166185,14.49154689,-0.126866863,34.60417807,-0.258141554,15.41666667,0.01254205,-1.107242801,-0.749603167,20.95756078,-0.001708,-0.519384785,0.003776665,-0.666093339
AUS,Australia,0.008486895,-0.492646353,0.00038789,1.677612762,-0.010014763,1.182874818,0.016854615,1.454111941,0.004977143,1.728682486,-0.025455691,30.45908187,,,0.105759352,33.27811004,-0.012999349,2.864583333,0.00177625,-0.42645961,0.632843539,15.75008793,0.001373927,1.905442058,-0.001353233,1.448451577
AUT,Austria,0.003263953,0.505874555,-0.005665134,1.807089962,-0.003161949,1.256663144,-0.002031882,1.542299252,0.002988756,1.837584414,-0.019110823,13.71508868,,,0.026476335,29.79166667,-0.050586192,24.54166667,0.014910606,-0.591441848,0.614305498,21.48080213,-0.009314514,1.854060249,-0.002414729,1.445734968
AZE,Azerbaijan,-0.002198982,-0.146876155,0.011676346,-0.816545445,0.009825437,-0.818279267,0.021551359,-0.822358904,0.013309841,-0.991871923,0.092508122,7.505392831,-0.041753974,4.292757529,-0.235540941,31.77081623,-2.452887538,78.22916667,0.007401885,-1.13940666,0.084136411,12.73877137,0.008073178,-1.146010266,-0.00520863,-1.159143597
BHR,Bahrain,-0.108517959,-1.324010108,-0.002834457,0.583430978,-0.00773704,-0.431467933,0.005393257,0.61315063,0.013210641,0.247811139,,,,,,,-0.011550152,9.295833333,0.00985531,-0.684255407,0.192412071,1.979166667,0.005076134,0.247968723,-0.012139321,-0.887869247
BGD,Bangladesh,0.080253847,1.254774304,-0.000866908,-0.721816673,-0.016987976,-0.855652522,0.0041444,-0.998541205,0.005149727,-0.904871385,0.028909423,7.413560589,0.068924561,1.992675068,0.191905968,30.04585374,-0.031458967,21.5125,-0.000200084,-0.44082544,0.192016053,11.79325171,-0.008330207,-0.859668768,-0.010124543,-0.268643021
